ADI,TRECHO
Rua Apóstolo Paschoal,Intersecção com a Avenida Prof. Milton da Costa até a intersecção com a Rua Jorge Mussi
Rua Me. Maria Villac,Intersecção com a Rua Ranulpho José de Souza Sobrinho até a intersecção com a Rua Mario Lacombe
Avenida dos Búzios,Intersecção com a Avenida das Lagostas até a intersecção com a Rua Jurerê Tradicional
Rua das Algas,Intersecção com a Avenida dos Búzios até a intersecção com a Avenida dos Dourados
Avenida dos Dourados,Intersecção com a Avenida das Raias até a intersecção com a Rodovia Jorn. Maurício Sirosky Sobrinho
Rodovia Jornalista Maurício Sirotski Sobrinho,"Intersecção com a Alameda Cesar Nascimento até as coordenadas 27°26'57.2""S 48°29'15.9""W"
Avenida dos Salmões,Intersecção com a Avenida dos Búzios até a intersecção com a Rodovia Francisco Arcanjo Grillo
Avenida das Raias,Toda sua extensão
Rua Recanto das Papoulas,"Das coordenadas 27°26'44.80""S 48°31'29.10""W até a intersecção com a Rua das Paineiras"
Avenida das Pitangueiras,Intersecção com a Rua das Margaridas até a intersecção com a Rua das Papoulas
Rua das Margaridas,Intersecção com a Avenida das Palmeiras até a intersecção com a Avenida das Pitangueiras
Avenida das Palmeiras,Intersecção com a Rua das Margaridas até a intersecção com a Rua das Papoulas
Avenida Prof. Milton Leite da Costa,Intersecção com a Rua Me. Maria Villac até a intersecção com a Rodovia Tertuliano Brito Xavier
Avenida das Nações,Intersecção com a Rua Me Maria Villac até a intersecção com a Rodovia Tertuliano Brito Xavier
Rua Jurerê Tradicional,Intersecção com a Alameda Cesar Nascimento até a intersecção com a Avenida dos Búzios
Alameda César Nascimento,Intersecção com a Rodovia Jorn. Maurício Sirotsky Sobrinho até a intersecção com a Rua Jurerê Tradicional
Avenida Lions Internacional,"Intersecção com a Rodovia Armando Calil Bulos (SC-403) até as coordenadas 27°25'60.0""S 48°24'26.0""W"
Rua Recanto do Sol,Toda sua extensão
AI-301(1) (Projetada),"Intersecção com a Rua Recanto do Sol até as coordenadas 27°25'60.0""S 48°24'26.0""W"
Rodovia Armando Calil Bulos (SC-403),Intersecção com a Servidão Três Marias até a Estrada Dom João Becker
Estrada Dom João Becker,Da Rodovia Armando Calil Bulos (SC-403) até a intersecção com a Servidão Benito de Freitas
Rua Intendente João Nunes Vieira,Intersecção com a Servidão Três Marias até a intersecção com a Rua Mercúrio
Servidão Três Marias,Intersecção com a Rodovia Armando Calil Bulos (SC-403) até a intersecção com a Rua Intendente João Nunes Vieira
Rua Mercúrio,Intersecção com a Rua Intendente João Nunes Vieira até a Intersecção com a Estrada Dom João Becker
Entrada Dom João Becker,Intersecção com a Estrada Dom João Becker até a intersecção com a Servidão Benito de Freitas
Rua Intendente João Nunes Vieira,Intersecção com a Servidão Benito de Freitas até a Rua Intendente João Nunes Vieira
Estrada Dom João Becker,Da Rua Intendente João Nunes Vieira até a intersecção com a Rua Mercúrio
Rodovia João Gualberto Soares (SC-406),Intersecção com a Rua Dário Manoel Cardoso até a intersecção com a Rua Intendente João Nunes Vieira
Travessa Duartina Silva Vieira,Toda sua extensão
Rua Graciliano Manoel Gomes,Intersecção com a Servidão Três Marias até a intersecção com a Rua Arthur Luciano Garcia
Rua Arthur Luciano Garcia,Toda sua extensão
Servidão Três Marias,Intersecção com a Rua Graciliano Manoel Gomes até a Rodovia Armando Calil Bulos (SC-403)
